kasallik_id,kasallik_kodi,o'simlik_turi,nomi,ilmiy_nomi,jiddiylik,tavsif,belgilari,davolash,o'g'itlar,oldini_olish
65,qovun_bakterioz,qovun,"Qovun bakterial dog'lanishi","Pseudomonas syringae","Jiddiy","Bakterial dog'lanish - bakteriyalar qo'zg'atadigan kasallik bo'lib, qovun barglarini va mevalarini zararlaydi. Kasallik yuqori namlikda rivojlanadi.","Barglarda suvga to'yingan dog'lar paydo bo'ladi. Mevalarda qoramtir-yashil, qattiq dog'lar hosil bo'ladi. Og'ir holatlarda mevalar yoriladi va chiriydi.","1. Zararlangan o'simliklarni yo'q qiling. 2. Mis tarkibli preparatlar bilan ishlov bering. 3. Antibakterial preparatlar qo'llang.","Mis oksixlorid,Streptomitsin,Kalsiy nitrat","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Tomchilatib sug'orish usulidan foydalaning. Sifatli urug'lik ishlating."
66,makajo'xori_fuzarioz,makkajo'xori,"Makkajo'xori fuzariozi","Fusarium verticillioides","Jiddiy","Fuzarioz - zamburug' qo'zg'atadigan kasallik bo'lib, makkajo'xori so'talarini zararlaydi. Kasallik yuqori namlikda rivojlanadi.","So'talarda pushti-qizil mog'or paydo bo'ladi. Donlar chiriydi. So'tada zamburug' toksinlari to'planadi, bu juda xavfli.","1. Zararlangan so'talarni yo'q qiling. 2. Fungitsidlar bilan urug'lik ishlov berish. 3. Hosil yig'imidan so'ng dalani tozalash.","Tebukonazol,Fludioksonil,Trichoderma preparati","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Makkajo'xorini 2-3 yil mobaynida bir joyda ekishdan saqlaning. Sifatli urug'lik ishlating."
67,makajo'xori_kuyindi,makkajo'xori,"Makkajo'xori kuyindisi","Ustilago maydis","O'rta","Kuyindi - zamburug' qo'zg'atadigan kasallik bo'lib, makkajo'xori so'talari, barglari va poyasini zararlaydi. Kasallik sporalar orqali tarqaladi.","So'talar, barglar va poyada shish (gall) hosil bo'ladi. Galllar kattalashib, oq pardaga o'raladi. Keyinchalik parda yoriladi va qora sporalarga to'la massa paydo bo'ladi.","1. Zararlangan o'simliklarni yo'q qiling. 2. Fungitsidlar bilan urug'lik ishlov berish. 3. Hosil yig'imidan so'ng dalani tozalash.","Karboksim,Tebukonazol,Mikroelementli o'g'itlar","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Urug'lik materialini muntazam yangilab turing. Urug'larni dorilashni har yili o'tkazing."
68,makajo'xori_bakterioz,makkajo'xori,"Makkajo'xori bakterial chirishi","Erwinia stewartii","Jiddiy","Bakterial chirish - bakteriyalar qo'zg'atadigan kasallik bo'lib, makkajo'xori o'simligining barglarini va poyasini zararlaydi. Kasallik hasharotlar orqali tarqaladi.","Barglarda tomirlar bo'ylab sariq-yashil chiziqlar paydo bo'ladi. Barglar qurib qoladi. Poyadan sariq shilimshiq ajraladi. O'simlik qurib qoladi.","1. Zararlangan o'simliklarni yo'q qiling. 2. Insektitsidlar bilan ishlov bering (hasharotlarni yo'q qilish uchun). 3. Mis tarkibli preparatlar bilan ishlov bering.","Mis oksixlorid,Streptomitsin,Kalsiy nitrat","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Hasharotlarga qarshi kurashish. Sifatli urug'lik ishlating."
69,makajo'xori_zang,makkajo'xori,"Makkajo'xori zangi","Puccinia sorghi","O'rta","Zang - zamburug' qo'zg'atadigan kasallik bo'lib, makkajo'xori barglarini zararlaydi. Kasallik nam ob-havoda rivojlanadi.","Barglarda qizg'ish-jigarrang dog'lar paydo bo'ladi. Dog'lar rivojlanib, qo'ng'ir-qora pustulalarga aylanadi. Barglar qurib qoladi, hosildorlik pasayadi.","1. Fungitsidlar bilan o'z vaqtida ishlov bering. 2. Zararlangan o'simlik qismlarini yo'q qiling. 3. Triazol guruhiga mansub fungitsidlardan foydalaning.","Triazol fungitsidlar,Mikroelementli o'g'itlar,Kalsiy nitrat","Zangga chidamli navlarni ekish, havo aylanishini ta'minlash. Ekin aylantirishni qo'llang. Yovvoyi g'allasimon o'tlarni yo'q qiling."
70,makajo'xori_tunlam,makkajo'xori,"Makkajo'xori tunlami","Helicoverpa zea","Jiddiy","Tunlam - hasharot zararkunandasi, uning qurti makkajo'xori so'tasi bilan oziqlanadi. Bir yilda 2-3 avlod berishi mumkin.","So'talarda teshiklar paydo bo'ladi. So'ta ichida jigarrang qurtlar va ularning chiqindilari. So'ta zararlangan joyda mog'or rivojlanib, zaharli mikotksinlar paydo bo'ladi.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Feromon tutqichlar o'rnating. 3. Biologik kurash vositalari (Trichogramma, Bacillus thuringiensis) qo'llang.","Organik o'g'itlar,Aminokislotali o'g'itlar,Kaliy sulfat","Ekin aylantirishni qo'llang. Trichogramma parazit arilarni qo'yib yuborish. Hosil yig'imidan so'ng dalani tozalash. Biologik kurash usullarini qo'llash."
71,guruch_pirkularioz,guruch,"Guruch pirkulariozi","Pyricularia oryzae","Juda jiddiy","Pirkularioz - zamburug' qo'zg'atadigan kasallik bo'lib, guruch barglarini, poyasini va boshoqlarini zararlaydi. Kasallik nam ob-havoda tez rivojlanadi.","Barglarda romb shaklidagi qo'ng'ir-qizil dog'lar paydo bo'ladi. Poyada qora dog'lar paydo bo'lib, boshoq sinib qolishi mumkin. Boshoqlarda qora dog'lar paydo bo'ladi, donlar to'liq rivojlanmaydi.","1. Fungitsidlar bilan o'z vaqtida ishlov bering. 2. Zararlangan o'simliklarni yo'q qiling. 3. Triazol va strobilurin guruhiga mansub fungitsidlardan foydalaning.","Triazol fungitsidlar,Strobilurin fungitsidlar,Silisiy preparatlari","Kasallikka chidamli navlarni tanlang. Azotli o'g'itlarni me'yorida qo'llang. Ekin zichligini optimal darajada saqlang. O'z vaqtida ekish va yig'im-terim."
72,guruch_bakterioz,guruch,"Guruch bakterial dog'lanishi","Xanthomonas oryzae","Jiddiy","Bakterial dog'lanish - bakteriyalar qo'zg'atadigan kasallik bo'lib, guruch barglarini zararlaydi. Kasallik yuqori namlikda rivojlanadi.","Barglarda tomirlar bo'ylab sarg'ish-yashil chiziqlar paydo bo'ladi. Keyinchalik chiziqlar kengayib, barglarni qoplaydi. Barglar sarg'ayib, qurib qoladi.","1. Zararlangan o'simliklarni yo'q qiling. 2. Mis tarkibli preparatlar bilan ishlov bering. 3. Urug'lik dezinfeksiyasi.","Mis oksixlorid,Streptomitsin,Kalsiy nitrat","Kasallikka chidamli navlarni tanlang. Sifatli urug'lik ishlating. Dalani suvdan chiqarib qo'yish (vaqti-vaqti bilan). Ekin aylantirishni qo'llang."
73,guruch_tunlam,guruch,"Guruch tunlami","Spodoptera mauritia","Jiddiy","Tunlam - hasharot zararkunandasi, uning qurti guruch o'simligi barglari bilan oziqlanadi. Bir yilda 3-4 avlod berishi mumkin.","Barglar chetidan yeyiladi. Barglarda qoramtir qurtlar va ularning chiqindilari. Barglar to'liq yeyilishi mumkin, hosildorlik keskin pasayadi.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Dalani vaqti-vaqti bilan suvdan chiqarib, qurtlarni yo'q qilish. 3. Biologik kurash vositalari qo'llang.","Azotli o'g'itlar,Kaliy sulfat,Organik o'g'itlar","Ekin aylantirishni qo'llang. Dala atrofidagi begona o'tlarni yo'q qilish. O'rdaklar va qushlardan foydalanish (biologik kurash). Feromon tutqichlar o'rnatish."
74,guruch_zang,guruch,"Guruch zangi","Puccinia graminis f.sp. oryzae","O'rta","Zang - zamburug' qo'zg'atadigan kasallik bo'lib, guruch barglarini zararlaydi. Kasallik nam ob-havoda rivojlanadi.","Barglarda q25,uzum_mildyu,uzum,"Uzum mildiyu","Plasmopara viticola","Jiddiy","Mildyu - uzum tokining eng xavfli kasalliklaridan biri. Kasallik namlik yuqori bo'lganda tez rivojlanadi va butun hosildorlikka ta'sir qiladi.","Barglarda yog'simon dog'lar paydo bo'ladi, keyinchalik qo'ng'ir rangga aylanadi. Barglarning pastki tomonida oq mog'or paydo bo'ladi. Zararlangan barglar qurib to'kiladi.","1. Mis tarkibli preparatlar bilan ishlov bering. 2. Barglararo masofani oshirish uchun tokni butang. 3. Sug'orishni tartibga soling. 4. Sistematik fungitsidlardan foydalaning.","Mis sulfat,Kaliy fosfonat,Organik fungitsidlar","Havo aylanishini ta'minlash, ertalab sug'orish, barglarni ho'llamaslik. Kasallikka chidamli navlarni tanlang. Toklar orasida yetarli masofa qoldiring."
